Timestamp,Low Value
2024-06-26 09:57:38,97
2024-06-26 10:58:56,92
2024-06-26 11:49:32,82
2024-06-26 12:01:06,78
2024-06-26 18:14:03,42
2024-06-27 00:33:20,84
2024-06-27 03:54:23,76
2024-06-27 05:04:30,61
2024-06-27 05:11:40,59
2024-06-27 06:20:42,42
2024-06-27 06:54:47,38
2024-06-27 15:52:33,86
2024-06-27 20:38:38,73
2024-06-27 23:03:49,36
2024-06-28 11:30:29,88
2024-06-28 15:45:34,76
2024-06-28 16:27:37,65
2024-06-28 16:34:28,63
2024-06-28 17:12:59,53
2024-06-28 17:29:10,48
2024-06-28 17:33:52,47
2024-06-28 17:47:21,44
2024-06-28 18:36:34,36
2024-06-28 22:25:48,97
2024-06-29 05:25:14,81
2024-06-29 08:19:37,41
2024-06-29 17:15:19,64
2024-06-29 20:10:08,75
2024-06-30 06:06:24,88
2024-06-30 12:02:26,59
2024-06-30 12:59:05,38
2024-06-30 14:42:45,25
2024-06-30 21:12:48,90
2024-06-30 22:30:04,82
2024-06-30 23:40:27,67
2024-06-30 23:41:16,67
2024-06-30 23:41:50,67
2024-07-01 13:06:07,85
2024-07-01 15:24:43,49
2024-07-01 21:27:52,33
2024-07-01 23:42:30,94
2024-07-02 00:18:47,89
2024-07-02 02:25:16,61
2024-07-02 15:08:41,93
2024-07-02 16:26:46,80
2024-07-02 17:10:45,70
2024-07-02 18:18:08,53
2024-07-02 22:09:35,51
2024-07-02 22:16:44,48
2024-07-02 23:03:13,36
2024-07-02 23:18:04,34
2024-07-02 23:48:57,30
2024-07-03 00:09:09,29
